Airline,ORG,DES,Aircraft_Family,Aircraft_Type,June_2019_Flights,June_2019_Seats,June_2019_ASMs,June_2018_Flights,June_2018_Seats,June_2018_ASMs,June_Diff_Flights,June_Diff_Seats,June_Diff_ASMs,June_Rate_Flights,June_Rate_Seats,June_Rate_ASMs
AC,YQR,YWG,DeHavilland Dash-8,DHC-8-300,0,0,0,57,"2,850","946,200",-57,"-2,850","-946,200",-100.00%,-100.00%,-100.00%
AC,YVR,YZP,DeHavilland Dash-8,DHC-8-300,0,0,0,57,"2,850","1,333,800",-57,"-2,850","-1,333,800",-100.00%,-100.00%,-100.00%
AC,YWG,YQR,DeHavilland Dash-8,DHC-8-300,0,0,0,57,"2,850","946,200",-57,"-2,850","-946,200",-100.00%,-100.00%,-100.00%
AC,YWK,YZV,DeHavilland Dash-8,DHC-8-100,0,0,0,57,"2,109","398,601",-57,"-2,109","-398,601",-100.00%,-100.00%,-100.00%
AC,YZP,YVR,DeHavilland Dash-8,DHC-8-300,0,0,0,57,"2,850","1,333,800",-57,"-2,850","-1,333,800",-100.00%,-100.00%,-100.00%
AC,YZV,YUL,DeHavilland Dash-8,DHC-8-100,0,0,0,57,"2,109","1,008,102",-57,"-2,109","-1,008,102",-100.00%,-100.00%,-100.00%
AC,YHM,YUL,Canadair CRJ,CRJ,0,0,0,58,"2,900","1,000,500",-58,"-2,900","-1,000,500",-100.00%,-100.00%,-100.00%
AC,YQU,YYC,DeHavilland Dash-8,DHC-8-300,0,0,0,58,"2,900","1,003,400",-58,"-2,900","-1,003,400",-100.00%,-100.00%,-100.00%
AC,YUL,YHM,Canadair CRJ,CRJ,0,0,0,58,"2,900","1,000,500",-58,"-2,900","-1,000,500",-100.00%,-100.00%,-100.00%
AC,YUL,YZV,DeHavilland Dash-8,DHC-8-100,0,0,0,58,"2,146","1,025,788",-58,"-2,146","-1,025,788",-100.00%,-100.00%,-100.00%
AC,YYC,YQU,DeHavilland Dash-8,DHC-8-300,0,0,0,58,"2,900","1,003,400",-58,"-2,900","-1,003,400",-100.00%,-100.00%,-100.00%
AC,YZV,YWK,DeHavilland Dash-8,DHC-8-100,0,0,0,58,"2,146","405,594",-58,"-2,146","-405,594",-100.00%,-100.00%,-100.00%
AC,YHZ,YYZ,B737 Misc,B737-Max 8 Passenger,0,0,0,58,"9,802","7,861,204",-58,"-9,802","-7,861,204",-100.00%,-100.00%,-100.00%
AC,YYZ,YHZ,B737 Misc,B737-Max 8 Passenger,0,0,0,58,"9,802","7,861,204",-58,"-9,802","-7,861,204",-100.00%,-100.00%,-100.00%
AC,YWG,YYZ,E-Jet,E-190,0,0,0,59,"5,723","5,356,728",-59,"-5,723","-5,356,728",-100.00%,-100.00%,-100.00%
AC,YYZ,YWG,E-Jet,E-190,0,0,0,59,"5,723","5,356,728",-59,"-5,723","-5,356,728",-100.00%,-100.00%,-100.00%
AC,YEG,YYJ,DeHavilland Dash-8,DHC-8-400,0,0,0,60,"4,680","2,508,480",-60,"-4,680","-2,508,480",-100.00%,-100.00%,-100.00%
AC,YOW,YYC,A320,A319,31,"3,720","6,673,680",91,"10,920","19,590,480",-60,"-7,200","-12,916,800",-65.90%,-65.90%,-65.90%
